#BM(C|255),MC(C|255),DESCR(C|4000)
01.3101,脑膜切开伴蛛网膜下腔血肿引流术,"BB1,手术1,手术1,诊断,2;BB2,手术1,手术1,1;PJ1,手术1,手术1,1;ZB1,手术1,手术1,1"
01.3102,脑膜切开伴蛛网膜下腔脓肿引流术,"BB1,手术1,手术1,诊断,2;BB2,手术1,手术1,1;PJ1,手术1,手术1,1;ZB1,手术1,手术1,1"
01.3103,脑膜切开伴硬脑膜下脓肿引流术,"BB1,手术1,手术1,诊断,2;BB2,手术1,手术1,1;PJ1,手术1,手术1,1;ZB1,手术1,手术1,1"
01.3104,脑膜切开伴硬脑膜下腔血肿清除术,"BB1,手术1,手术1,诊断,2;BB2,手术1,手术1,1;PJ1,手术1,手术1,1;ZB1,手术1,手术1,1"
01.3105,硬脑膜下切开引流术,"BB1,手术1,手术1,诊断,2;BB2,手术1,手术1,1;ZB1,手术1,手术1,1"
01.3106,脑蛛网膜下腔切开引流术,"BB1,手术1,手术1,诊断,2;BB2,手术1,手术1,1;ZB1,手术1,手术1,1"
01.3107,脑膜切开引流术,"BB1,手术1,手术1,诊断,2;BB2,手术1,手术1,1;PJ1,手术1,手术1,1;ZB1,手术1,手术1,1"
01.3108,硬脑膜下钻孔引流术,"BB1,手术1,手术1,诊断,2;BB2,手术1,手术1,1;ZB1,手术1,手术1,1"
01.3201,脑叶切开术,"BB1,手术1,手术1,诊断,2;BB2,手术1,手术1,1;PJ1,手术1,手术1,1;ZB1,手术1,手术1,1"
01.3202,脑神经束切断术,"BB1,手术1,手术1,诊断,2;BB2,手术1,手术1,1;PJ1,手术1,手术1,1;ZB1,手术1,手术1,1"
01.3203,经皮扣带回切断术,"BB1,手术1,手术1,诊断,2;BB2,手术1,手术1,1;PJ1,手术1,手术1,1;ZB1,手术1,手术1,1"
01.3204,延髓束切断术,"BB1,手术1,手术1,诊断,2;BB2,手术1,手术1,1;PJ1,手术1,手术1,1;ZB1,手术1,手术1,1"
01.3205,胼胝体切开术,"BB1,手术1,手术1,诊断,2;BB2,手术1,手术1,1;PJ1,手术1,手术1,1;ZB1,手术1,手术1,1"
01.3206,颅内立体定向双侧扣带回毁损术,"BB1,手术1,手术1,诊断,2;BB2,手术1,手术1,1"
01.3901,脑室钻孔引流术,"BB1,手术1,手术1,诊断,2;BB2,手术1,手术1,1;ZB1,手术1,手术1,1"
01.3902,脑室切开引流术,"BB1,手术1,手术1,诊断,2;BB2,手术1,手术1,1;PJ1,手术1,手术1,1;ZB1,手术1,手术1,1"
01.3903,杏仁核海马切开术,"BB1,手术1,手术1,诊断,2;BB2,手术1,手术1,1;ZB1,手术1,手术1,1"
01.3904,经颞叶脑血肿清除术,"BB1,手术1,手术1,诊断,2;BB2,手术1,手术1,1;PJ1,手术1,手术1,1;ZB1,手术1,手术1,1"
01.3905,脑立体定向血肿碎吸术,"BB1,手术1,手术1,诊断,2;BB2,手术1,手术1,1"
01.3906,内镜下脑血肿引流术,"BB1,手术1,手术1,诊断,2;BB2,手术1,手术1,1;PJ1,手术1,手术1,1;ZB1,手术1,手术1,1"
01.3907,脑切开异物取出术,"BB1,手术1,手术1,诊断,2;BB2,手术1,手术1,1;PJ1,手术1,手术1,1;ZB1,手术1,手术1,1"
01.3908,大脑半球切开术,"BB1,手术1,手术1,诊断,2;BB2,手术1,手术1,1"
01.3909,脑囊肿切开引流术,"BB1,手术1,手术1,诊断,2;BB2,手术1,手术1,1"
01.3910,脑血肿切开引流术,"BB1,手术1,手术1,诊断,2;BB2,手术1,手术1,1"
01.3911,脑脓肿切开引流术,"BB1,手术1,手术1,诊断,2;BB2,手术1,手术1,1"
01.4101,丘脑切开术,"BB1,手术1,手术1,诊断,2;BB2,手术1,手术1,1;PJ1,手术1,手术1,1;RA1,手术1,手术1,诊断,2;RA3,手术1,手术1,诊断,2;ZB1,手术1,手术1,1"
01.4102,丘脑射频毁损术,"BB1,手术1,手术1,诊断,2;BB2,手术1,手术1,1;PJ1,手术1,手术1,1;RA1,手术1,手术1,诊断,2;RA3,手术1,手术1,诊断,2;ZB1,手术1,手术1,1"
01.4103,丘脑化学破坏术,"BB1,手术1,手术1,诊断,2;BB2,手术1,手术1,1;PJ1,手术1,手术1,1;RA1,手术1,手术1,诊断,2;RA3,手术1,手术1,诊断,2;ZB1,手术1,手术1,1"
01.4104,丘脑核破坏术,"BB1,手术1,手术1,诊断,2;BB2,手术1,手术1,1;PJ1,手术1,手术1,1;RA1,手术1,手术1,诊断,2;RA3,手术1,手术1,诊断,2;ZB1,手术1,手术1,1"
01.4105,丘脑病损切除术,"BB1,手术1,手术1,诊断,2;BB2,手术1,手术1,1;PJ1,手术1,手术1,1;RA1,手术1,手术1,诊断,2;RA3,手术1,手术1,诊断,2;ZB1,手术1,手术1,1"
01.4201,立体定向苍白球切开术,"BB1,手术1,手术1,诊断,2;BB2,手术1,手术1,1;PJ1,手术1,手术1,1;RA1,手术1,手术1,诊断,2;RA3,手术1,手术1,诊断,2;ZB1,手术1,手术1,1"
01.4202,苍白球切开术,"BB1,手术1,手术1,诊断,2;BB2,手术1,手术1,1;PJ1,手术1,手术1,1;RA1,手术1,手术1,诊断,2;RA3,手术1,手术1,诊断,2;ZB1,手术1,手术1,1"
01.4203,苍白球射频毁损术,"BB1,手术1,手术1,诊断,2;BB2,手术1,手术1,1;PJ1,手术1,手术1,1;RA1,手术1,手术1,诊断,2;RA3,手术1,手术1,诊断,2;ZB1,手术1,手术1,1"
01.4204,苍白球丘脑化学破坏术,"BB1,手术1,手术1,诊断,2;BB2,手术1,手术1,1;PJ1,手术1,手术1,1;RA1,手术1,手术1,诊断,2;RA3,手术1,手术1,诊断,2;ZB1,手术1,手术1,1"
01.5101,脑膜部分切除术,"BB1,手术1,手术1,诊断,2;BB2,手术1,手术1,1;PJ1,手术1,手术1,1;ZB1,手术1,手术1,1"
01.5102,经鼻脑膜病损切除术,"BB1,手术1,手术1,诊断,2;BB2,手术1,手术1,1;PJ1,手术1,手术1,1;ZB1,手术1,手术1,1"
01.5103,经枕脑膜病损切除术,"BB1,手术1,手术1,诊断,2;BB2,手术1,手术1,1;PJ1,手术1,手术1,1;ZB1,手术1,手术1,1"
01.5104,经额脑膜病损切除术,"BB1,手术1,手术1,诊断,2;BB2,手术1,手术1,1;PJ1,手术1,手术1,1;ZB1,手术1,手术1,1"
01.5105,脑蛛网膜病损切除术,"BB1,手术1,手术1,诊断,2;BB2,手术1,手术1,1;PJ1,手术1,手术1,1;RA1,手术1,手术1,诊断,2;RA3,手术1,手术1,诊断,2;ZB1,手术1,手术1,1"
01.5106,脑膜病损切除术,"BB1,手术1,手术1,诊断,2;BB2,手术1,手术1,1;PJ1,手术1,手术1,1;RA1,手术1,手术1,诊断,2;RA3,手术1,手术1,诊断,2;ZB1,手术1,手术1,1"
01.5107,内镜下脑蛛网膜病损切除术,"BB1,手术1,手术1,诊断,2;BB2,手术1,手术1,1;PJ1,手术1,手术1,1;ZB1,手术1,手术1,1"
01.5108,软脑膜切除术,"BB1,手术1,手术1,诊断,2;BB2,手术1,手术1,1;PJ1,手术1,手术1,1;ZB1,手术1,手术1,1"
01.5200,大脑半球切除术,"BB1,手术1,手术1,诊断,2;BB2,手术1,手术1,1;PJ1,手术1,手术1,1;RA1,手术1,手术1,诊断,2;RA3,手术1,手术1,诊断,2;ZB1,手术1,手术1,1"
01.5301,脑叶次全切除术,"BB1,手术1,手术1,诊断,2;BB2,手术1,手术1,1;PJ1,手术1,手术1,1;RA1,手术1,手术1,诊断,2;RA3,手术1,手术1,诊断,2;ZB1,手术1,手术1,1"
01.5302,额叶切除术,"BB1,手术1,手术1,诊断,2;BB2,手术1,手术1,1;PJ1,手术1,手术1,1;RA1,手术1,手术1,诊断,2;RA3,手术1,手术1,诊断,2;ZB1,手术1,手术1,1"
01.5303,颞叶切除术,"BB1,手术1,手术1,诊断,2;BB2,手术1,手术1,1;PJ1,手术1,手术1,1;RA1,手术1,手术1,诊断,2;RA3,手术1,手术1,诊断,2;ZB1,手术1,手术1,1"
01.5304,标准前颞叶切除术,"BB1,手术1,手术1,诊断,2;BB2,手术1,手术1,1;ZB1,手术1,手术1,1"
01.5901,脑病损切除术,"BB1,手术1,手术1,诊断,2;BB2,手术1,手术1,1;ZB1,手术1,手术1,1"
01.5902,鞍区病损切除术,"BB1,手术1,手术1,诊断,2;BB2,手术1,手术1,1;PJ1,手术1,手术1,1;RA1,手术1,手术1,诊断,2;RA3,手术1,手术1,诊断,2;ZB1,手术1,手术1,1"
01.5903,侧脑室病损切除术,"BB1,手术1,手术1,诊断,2;BB2,手术1,手术1,1;PJ1,手术1,手术1,1;RA1,手术1,手术1,诊断,2;RA3,手术1,手术1,诊断,2;ZB1,手术1,手术1,1"
01.5904,第三脑室病损切除术,"BB1,手术1,手术1,诊断,2;BB2,手术1,手术1,1;PJ1,手术1,手术1,1;RA1,手术1,手术1,诊断,2;RA3,手术1,手术1,诊断,2;ZB1,手术1,手术1,1"
01.5905,后颅窝病损切除术,"BB1,手术1,手术1,诊断,2;BB2,手术1,手术1,1;PJ1,手术1,手术1,1;RA1,手术1,手术1,诊断,2;RA3,手术1,手术1,诊断,2;ZB1,手术1,手术1,1"
01.5906,岛叶病损切除术,"BB1,手术1,手术1,诊断,2;BB2,手术1,手术1,1;PJ1,手术1,手术1,1;RA1,手术1,手术1,诊断,2;RA3,手术1,手术1,诊断,2;ZB1,手术1,手术1,1"
01.5907,第四脑室病损切除术,"BB1,手术1,手术1,诊断,2;BB2,手术1,手术1,1;PJ1,手术1,手术1,1;RA1,手术1,手术1,诊断,2;RA3,手术1,手术1,诊断,2;ZB1,手术1,手术1,1"
01.5908,顶叶病损切除术,"BB1,手术1,手术1,诊断,2;BB2,手术1,手术1,1;PJ1,手术1,手术1,1;RA1,手术1,手术1,诊断,2;RA3,手术1,手术1,诊断,2;ZB1,手术1,手术1,1"
01.5909,额叶病损切除术,"BB1,手术1,手术1,诊断,2;BB2,手术1,手术1,1;PJ1,手术1,手术1,1;RA1,手术1,手术1,诊断,2;RA3,手术1,手术1,诊断,2;ZB1,手术1,手术1,1"
01.5910,海绵窦病损切除术,"BB1,手术1,手术1,诊断,2;BB2,手术1,手术1,1;PJ1,手术1,手术1,1;RA1,手术1,手术1,诊断,2;RA3,手术1,手术1,诊断,2;ZB1,手术1,手术1,1"
01.5911,经额脑病损切除术,"BB1,手术1,手术1,诊断,2;BB2,手术1,手术1,1;PJ1,手术1,手术1,1;RA1,手术1,手术1,诊断,2;RA3,手术1,手术1,诊断,2;ZB1,手术1,手术1,1"
01.5912,经蝶窦脑病损切除术,"BB1,手术1,手术1,诊断,2;BB2,手术1,手术1,1;RA1,手术1,手术1,诊断,2;RA3,手术1,手术1,诊断,2;ZB1,手术1,手术1,1"
01.5913,颞叶病损切除术,"BB1,手术1,手术1,诊断,2;BB2,手术1,手术1,1;PJ1,手术1,手术1,1;RA1,手术1,手术1,诊断,2;RA3,手术1,手术1,诊断,2;ZB1,手术1,手术1,1"
01.5914,经顶脑病损切除术,"BB1,手术1,手术1,诊断,2;BB2,手术1,手术1,1;PJ1,手术1,手术1,1;RA1,手术1,手术1,诊断,2;RA3,手术1,手术1,诊断,2;ZB1,手术1,手术1,1"
01.5915,经颞脑病损切除术,"BB1,手术1,手术1,诊断,2;BB2,手术1,手术1,1;PJ1,手术1,手术1,1;RA1,手术1,手术1,诊断,2;RA3,手术1,手术1,诊断,2;ZB1,手术1,手术1,1"
01.5916,经翼点脑病损切除术,"BB1,手术1,手术1,诊断,2;BB2,手术1,手术1,1;PJ1,手术1,手术1,1;RA1,手术1,手术1,诊断,2;RA3,手术1,手术1,诊断,2;ZB1,手术1,手术1,1"
01.5917,经枕脑病损切除术,"BB1,手术1,手术1,诊断,2;BB2,手术1,手术1,1;PJ1,手术1,手术1,1;RA1,手术1,手术1,诊断,2;RA3,手术1,手术1,诊断,2;ZB1,手术1,手术1,1"
01.5918,颅底病损切除术,"BB1,手术1,手术1,诊断,2;BB2,手术1,手术1,1;PJ1,手术1,手术1,1;RA1,手术1,手术1,诊断,2;RA3,手术1,手术1,诊断,2;ZB1,手术1,手术1,1"
01.5919,经蝶脑病损切除术,"BB1,手术1,手术1,诊断,2;BB2,手术1,手术1,1;ZB1,手术1,手术1,1"
01.5920,脑干病损切除术,"BB1,手术1,手术1,诊断,2;BB2,手术1,手术1,1;RA1,手术1,手术1,诊断,2;RA3,手术1,手术1,诊断,2;ZB1,手术1,手术1,1"
01.5921,脑囊肿造袋术,"BB2,手术1,手术1,1;PJ1,手术1,手术1,1;ZB1,手术1,手术1,1"
01.5922,胼胝体病损切除术,"BB1,手术1,手术1,诊断,2;BB2,手术1,手术1,1;PJ1,手术1,手术1,1;RA1,手术1,手术1,诊断,2;RA3,手术1,手术1,诊断,2;ZB1,手术1,手术1,1"
01.5923,小脑半球病损切除术,"BB1,手术1,手术1,诊断,2;BB2,手术1,手术1,1;PJ1,手术1,手术1,1;RA1,手术1,手术1,诊断,2;RA3,手术1,手术1,诊断,2;ZB1,手术1,手术1,1"
01.5924,小脑蚓部病损切除术,"BB1,手术1,手术1,诊断,2;BB2,手术1,手术1,1;PJ1,手术1,手术1,1;RA1,手术1,手术1,诊断,2;RA3,手术1,手术1,诊断,2;ZB1,手术1,手术1,1"
01.5925,脑清创术,"BB1,手术1,手术1,诊断,2;BB2,手术1,手术1,1;PJ1,手术1,手术1,1;RA1,手术1,手术1,诊断,2;RA3,手术1,手术1,诊断,2;ZB1,手术1,手术1,1"
01.5926,内镜下前颅窝病损切除术,"BB1,手术1,手术1,诊断,2;BB2,手术1,手术1,1;ZB1,手术1,手术1,1"
01.5927,立体定向脑病损切除术,"BB1,手术1,手术1,诊断,2;BB2,手术1,手术1,1;PJ1,手术1,手术1,1;RA1,手术1,手术1,诊断,2;RA3,手术1,手术1,诊断,2;ZB1,手术1,手术1,1"
01.5928,脑斜坡病损切除术,"BB1,手术1,手术1,诊断,2;BB2,手术1,手术1,1;PJ1,手术1,手术1,1;RA1,手术1,手术1,诊断,2;RA3,手术1,手术1,诊断,2;ZB1,手术1,手术1,1"
01.5929,脑部分切除术,"BB1,手术1,手术1,诊断,2;BB2,手术1,手术1,1;ZB1,手术1,手术1,1"
01.5930,大脑病损切除术,"BB1,手术1,手术1,诊断,2;BB2,手术1,手术1,1;PJ1,手术1,手术1,1;RA1,手术1,手术1,诊断,2;RA3,手术1,手术1,诊断,2;ZB1,手术1,手术1,1"
01.5931,内镜下颅底病损切除术,"BB1,手术1,手术1,诊断,2;BB2,手术1,手术1,1;ZB1,手术1,手术1,1"
01.5932,颞下窝病损切除术,"BB1,手术1,手术1,诊断,2;BB2,手术1,手术1,1;ZB1,手术1,手术1,1"
01.5933,选择性杏仁核海马切除术,"BB1,手术1,手术1,诊断,2;BB2,手术1,手术1,1;ZB1,手术1,手术1,1"
01.5935,小脑扁桃体部分切除术,"BB1,手术1,手术1,诊断,2;BB2,手术1,手术1,1;PJ1,手术1,手术1,1;RA1,手术1,手术1,诊断,2;RA3,手术1,手术1,诊断,2;ZB1,手术1,手术1,1"
01.5936,神经导航下颅内病灶切除术,"BB1,手术1,手术1,诊断,2;BB2,手术1,手术1,1;ZB1,手术1,手术1,1"
01.5937,内镜下鞍旁病损切除术,"BB1,手术1,手术1,诊断,2;BB2,手术1,手术1,1;ZB1,手术1,手术1,1"
01.5938,脑室镜下颅底病损切除术,"BB1,手术1,手术1,诊断,2;BB2,手术1,手术1,1;ZB1,手术1,手术1,1"
01.5939,内镜下斜坡病损切除术,"BB1,手术1,手术1,诊断,2;BB2,手术1,手术1,1;ZB1,手术1,手术1,1"
01.5940,枕叶病损切除术,"BB1,手术1,手术1,诊断,2;BB2,手术1,手术1,1;PJ1,手术1,手术1,1;RA1,手术1,手术1,诊断,2;RA3,手术1,手术1,诊断,2;ZB1,手术1,手术1,1"
01.5941,前胼胝体切除术,"BB1,手术1,手术1,诊断,2;BB2,手术1,手术1,1;ZB1,手术1,手术1,1"
01.6x00,颅骨病损的切除术,"BB1,手术1,手术1,诊断,2;BB2,手术1,手术1,1;PJ1,手术1,手术1,1;RA1,手术1,手术1,诊断,2;RA3,手术1,手术1,诊断,2;ZB1,手术1,手术1,1"
01.6x01,颅肉芽肿切除术,"BB1,手术1,手术1,诊断,2;BB2,手术1,手术1,1;PJ1,手术1,手术1,1;RA1,手术1,手术1,诊断,2;RA3,手术1,手术1,诊断,2;ZB1,手术1,手术1,1"
02.0101,线形颅骨切除术,"BB1,手术1,手术1,诊断,2;BB2,手术1,手术1,1;PJ1,手术1,手术1,1;RA2,手术1,手术1,诊断,2;RA4,手术1,手术1,诊断,2;ZB1,手术1,手术1,1"
02.0102,条带状颅骨切除术,"BB1,手术1,手术1,诊断,2;BB2,手术1,手术1,1;PJ1,手术1,手术1,1;RA2,手术1,手术1,诊断,2;RA4,手术1,手术1,诊断,2;ZB1,手术1,手术1,1"
02.0201,颅骨骨折减压术,"BB1,手术1,手术1,诊断,2;BB2,手术1,手术1,1;PJ1,手术1,手术1,1;RA2,手术1,手术1,诊断,2;RA4,手术1,手术1,诊断,2;ZB1,手术1,手术1,1"
02.0202,颅骨骨折清创术,"BB1,手术1,手术1,诊断,2;BB2,手术1,手术1,1;PJ1,手术1,手术1,1;RA2,手术1,手术1,诊断,2;RA4,手术1,手术1,诊断,2;ZB1,手术1,手术1,1"
02.0203,颅骨骨折复位术,"BB1,手术1,手术1,诊断,2;BB2,手术1,手术1,1;PJ1,手术1,手术1,1;RA2,手术1,手术1,诊断,2;RA4,手术1,手术1,诊断,2;ZB1,手术1,手术1,1"
02.0401,颅骨骨膜自体移植术,"BB1,手术1,手术1,诊断,2;BB2,手术1,手术1,1;PJ1,手术1,手术1,1;ZB1,手术1,手术1,1"
02.0402,颅骨骨膜异体移植术,"BB1,手术1,手术1,诊断,2;BB2,手术1,手术1,1;PJ1,手术1,手术1,1;ZB1,手术1,手术1,1"
02.0501,颅骨钛板置换术,"BB1,手术1,手术1,诊断,2;BB2,手术1,手术1,1;PJ1,手术1,手术1,1;ZB1,手术1,手术1,1"
02.0502,颅骨钛板置入术,"BB1,手术1,手术1,诊断,2;BB2,手术1,手术1,1;PJ1,手术1,手术1,1;RA2,手术1,手术1,诊断,2;RA4,手术1,手术1,诊断,2;ZB1,手术1,手术1,1"
